Policy code,Policy,Expert Category
B124*1,"To-(A) investigate the feasibility of, and obstacles to, developing and deploying standards and technologies for determining digital content provenance;",Instrument
B124*2,"(B) propose policy changes to reduce the proliferation and impact of digital content forgeries, such as the adoption of digital content provenance and technology standards; and",Instrument
B124*5,"(I) A determination of metrics to define the success of-(i) technologies or systems to detect digital content forgeries; (ii) technologies or systems to determine digital content provenance; and (iii) other efforts to reduce the incidence, proliferation, and impact of digital content forgeries.",Instrument
B124.1,Mr. Portman (for himself and Mr. Peters) introduced the following bill; which was read twice and referred to the Committee on Homeland Security and Governmental Affairs,Context
B124.2,(ii) digital literacy education campaigns and user-friendly detection tools for the public to reduce the proliferation and impact of disinformation and digital content forgeries;,Context
B124.3,"(iv) the means and methods for identifying and addressing the technical and financial infrastructure that supports the proliferation of digital content forgeries, such as inauthentic social media accounts and bank accounts.",Context
B124/1,"(c) Coordinated Plan.-(1) In general.--The Task Force shall develop a coordinated plan to-(A) reduce the proliferation and impact of digital content forgeries, including by exploring how the adoption of a digital content provenance standard could assist with reducing the proliferation of digital content forgeries; (B) develop mechanisms for content creators to-(i) cryptographically certify the authenticity of original media and nondeceptive manipulations; and (ii) enable the public to validate the authenticity of original media and nondeceptive manipulations to establish digital content provenance; and",Actors
B124/4,"(F) Proposed policy changes, including changes in law, to-(i) incentivize the adoption of technologies, systems, open standards, or other means to detect digital content forgeries and determine digital content provenance; and (ii) reduce the incidence, proliferation, and impact of digital content forgeries. (G) Recommendations for models for public-private partnerships to fight disinformation and reduce digital content forgeries, including partnerships that support and collaborate on-(i) industry practices and standards for determining digital content provenance; (ii) digital literacy education campaigns and user-friendly detection tools for the public to reduce the proliferation and impact of disinformation and digital content forgeries; (iii) industry practices and standards for documenting relevant research and progress in machine learning; and (iv) the means and methods for identifying and addressing the technical and financial infrastructure that supports the proliferation of digital content forgeries, such as inauthentic social media accounts and bank accounts.",Actors
B124_1,"(2) Contents.--The plan required under paragraph (1) shall include the following: (A) A Government-wide research and development agenda to-(i) improve technologies and systems to detect digital content forgeries; and (ii) relay information about digital content provenance to content consumers. (B) An assessment of the feasibility of, and obstacles to, the deployment of technologies and systems to capture, preserve, and display digital content provenance. (C) An assessment of the feasibility of, and challenges in, distinguishing between-(i) benign or helpful alterations to digital content; and (ii) intentionally deceptive or obfuscating alterations to digital content. (D) A discussion of best practices, including any necessary standards, for the adoption and effective use of technologies and systems to determine digital content provenance and detect digital content forgeries. (E) Conceptual proposals for necessary research projects and experiments to further develop successful technology to ascertain digital content provenance.",Channels
B124-2,"The policy is related to security and defense, specifically homeland security.",Actors
B124-3,Interagency coordination and information sharing,Actors
B124-4,"(B) Composition.--The Task Force shall be composed of 12 members, of whom-(i) 4 shall be representatives from the Federal Government, including the cochairpersons of the Task Force; (ii) 4 shall be representatives from institutions of higher education; and (iii) 4 shall be representatives from private or nonprofit organizations.",Actors
B124-5,"(C) Appointment.--Not later than 120 days after the date of enactment of this Act, the co-chairpersons of the Task Force shall appoint members to the Task Force in accordance with subparagraph (A) from among technical experts in-(i) artificial intelligence; (ii) media manipulation; (iii) digital forensics; (iv) secure digital content and delivery; (v) cryptography; or (vi) related subjects.",Actors
B124-6,"(C) increase the ability of internet companies, journalists, watchdog organizations, other relevant entities, and members of the public to-(i) meaningfully scrutinize and identify potential digital content forgeries; and (ii) relay trust and information about digital content provenance to content consumers.",Actors
B124-7,"(G) Recommendations for models for public-private partnerships to fight disinformation and reduce digital content forgeries, including partnerships that support and collaborate on-(i) industry practices and standards for determining digital content provenance;",Actors
B124-8,"(d) Consultations.--In carrying out subsection (c), the Task Force shall consult with the following: (1) The Director of the National Science Foundation. (2) The National Academies of Sciences, Engineering, and Medicine. (3) The Director of the National Institute of Standards and Technology. (4) The Director of the Defense Advanced Research Projects Agency. (5) The Director of the Intelligence Advanced Research Projects Activity of the Office of the Director of National Intelligence. (6) The Secretary of Energy. (7) The Secretary of Defense. (8) The Attorney General. (9) The Secretary of State. (10) The Federal Trade Commission. (11) The United States Trade Representative. (12) Representatives from private industry and nonprofit organizations. (13) Representatives from institutions of higher education. (14) Such other individuals as the Task Force considers appropriate.",Actors
B138.1,"Ms. Klobuchar (for herself and Mr. Lujan) introduced the following bill; which was read twice and referred to the Committee on Commerce, Science, and Transportation",Context
B138/1,"Social media companies use algorithms that determine what material users see online, and those algorithms often prioritize content based on the popularity of the content, or similarity to previously seen content, which means that a user exposed to information once could see more of that kind of information over time, furthering the effects of misinformation and disinformation.",Actors
